,Title,Id,Upvotes,comments
0,📢 Tata Consultancy Services is hiring a UI Developer!,108cndf,1,0
1,"Junior Developer ~ Tata Consultancy Services ~ Riyadh, Saudi Arabia | Gulf Tech Jobs",10a01up,1,0
2,Tata Consultancy Services with the most obvious white label ever,y13m8r,25,25
3,📢 Tata Consultancy Services is hiring a Dotnet Developer!,10145se,1,0
4,FDA Developer ~ Tata Consultancy Services ~ Riyadh | Gulf Tech Jobs,105vj30,1,0
5,"Software Developer ~ Tata Consultancy Services ~ Eastern, Saudi Arabia | Gulf Tech Jobs",10a0aix,1,0
6,AEM Developer ~Tata Consultancy Services ~ Riyadh | Gulf Tech Jobs,105visi,1,0
7,📢 Tata Consultancy Services is hiring a PowerBI Developer!,104xf7d,1,0
8,📢 Tata Consultancy Services is hiring a Full Stack Developer!,101orxt,1,0
9,TATA CONSULTANCY SERVICES Java Full Stack Developer Proficiency test,znifao,0,1
10,📢 Tata Consultancy Services is hiring a .NET Developer!,yzwzv7,1,0
11,📢 Tata Consultancy Services is hiring a .Net Developer!,yzwyhy,1,0
12,Tata Consultancy Services Based Online Internship for Fresher's,zgs723,1,0
13,Good News for Tata Consultancy Services Share Holder TCS announced dividend 2022 quarter 2 » How Trending,y0wv1i,1,0
14,📢 Tata Consultancy Services is hiring a ServiceNow Developer!,zxe09e,1,0
15,📢 Tata Consultancy Services Limited is hiring a System Administrator!,z15xuh,1,0
16,TATA CONSULTANCY SERVICES Java Full Stack Developer Proficiency test,znigpg,0,1
17,📢 Tata Consultancy Services is hiring a AS400 Production Support!,yvq4gs,1,0
18,Tata Consultancy Services joins WiseTech Global CargoWise Service Partner programme,yfgh0c,1,0
19,"Top 15 des tendances du marché La transition du centre d’appels en Inde 2021 | Genpact, Tata Consultancy Services BPO, Wipro BPO, Infosys BPO, WNS Global Services, EXL Service, Aegis Limited, Firstsource Solutions Limited, Hinduja Global Solutions and HCL Technologies BPO Services Limited.",y9lo1z,1,0
20,University of Sydney partners with Tata Consultancy Services - University of Sydney,x6zynk,1,0
21,"TCS is India’s most valuable brand. According to the Kantar BrandZ India rankings, India's top IT service provider Tata Consultancy Services TCS is the most valuable Indian brand in 2022.",xebrnb,1,0
22,Has anyone heard of Tata Consultancy Services (TCS)?,vtkj7d,15,17
23,📢 Tata Consultancy Services is hiring a Guidewire Developer!\,xysn4k,1,0
24,"TCS, 11 other companies drag Tata Steel market value down. A 20 percent correction in IT major Tata Consultancy Services TCS along with 11 other group companies dragged the group's market capitalisation on a year-to-date YTD basis until September 29.",xrwk4q,1,0
25,TCS= TATA CONSULTANCY SERVICES.,v6tpx1,19,10
26,Tata Consultancy Services said all experienced hires will be given an increase as part of the annual salary appraisal that follows their one-year anniversary. #tata #ratantata,x48i2e,1,0
27,Tata Consultancy Services,x1ru62,1,0
28,cómo es trabajar en tata consultancy services? es que quiero empezar como developer pero la entrevista técnica fue muy corta y sencilla y me da desconfianza de no aprender bien y no poder salir adelante después o estancarme,wlfzc5,1,0
29,Name and Shame - Tata Consultancy Services,eu88if,1107,279
30,"Campus Drive for TATA Consultancy Services Date: 11th July, 2022 #DronacharyaGroupofInstitutions #bestengineeringcollegeindelhincr #bestengineeringcollegeingreaterNoida #topplacementcollegeindelhincr #greaternoida #campusdrive #delhincr #jee2022 #bestplacementcollegeindelhincr #multipleplacement",vwcy45,1,0
31,Opiniones de Tata consultancy services?,sdilsw,6,27
32,Earn Money To Advice – Tata Consultancy Services Limited Stock | ForexWin,wc0dnq,1,0
33,"Service Delivery Platform Market In-Depth Analysis including key players Telenity, Oracle Corporations, Tata Consultancy Services Ltd.",ux8p68,3,1
34,Tata Consultancy Services Ltd Share Price,v0t4c4,1,0
35,"My work is being outsourced to Tata Consultancy Services, and I have an offer to go along with it",pin58a,6,5
